Bulunduğu semt,Toplama alanının ismi,Telefon numarası,Konum Bilgisi,Müsaitlik Durumu,Müsaitlik Durumu Güncelleme Tarihi,Gereken Yardım Türü
Büyükçekmece,Büyükçekmece Tepecik ÇEM,ALO 153,"Ulus mahallesi, İdare sokak, No:6 Tepecik/Büyükçekmece-İSTANBUL",,,
Büyükçekmece,Büyükçekmece Sosyal Hizmet Merkezi,,https://goo.gl/maps/E6ZM6auwNEi6XfJm9,,,
Çamlıca,Eyüboğlu İlk ve ortaokulu,,https://goo.gl/maps/pMf1p1qVYLY4qWc17,malzeme eksiği var yaşlı bezi ve cep ısıtıcı (iş gücüne ihtiyaçları yok(,,
Çatalca,Çatalca Kaleiçi Mah. Çem,153 aranarak ulaşılır.,https://goo.gl/maps/79p3GgwzFwUWt44e8,,,
Çatalca,Çatalca Kaleiçi Mahallesi ÇEM,ALO 153,https://goo.gl/maps/uxuQJzA6VeXKAtJd6,,,
Çekmeköy,Çekmeköy Kapalı Pazar Yeri,-,https://goo.gl/maps/Qn5uRDZWNKeuR8pd7,DOLU,,
Çekmeköy,Fatma Aliye Kütüphanesi,2165865628,https://goo.gl/maps/Dmj66A3beUPuAEq27,,,
Çekmeköy,Çekmeköy İSADEM,,https://goo.gl/maps/CzVrcrsqMv29CVkz8,,,
Çekmeköy,Çekpa,2165041187,https://goo.gl/maps/fMwsMqTBjg3KDimt6,ÇALIŞMALAR TAMAMLANDI ,,
Edirnekapı,Edirnekapı Sosyal Hizmetler Şubesi Müdürlüğü,,https://goo.gl/maps/b2G2x7Mp159Ca94E7,,,
Elmadağ/Taksim,İBB Sevgi Soysal Kütüphanesi,0212 249 09 45,https://goo.gl/maps/K7kCQH4xxB73FsLB8,,,
Esenler,Tekstilkent,,"Oruçreis Mahallesi,  Tekstilkent ticaret merkezi, No:10-T İşhanı blok Kat:1 D:119, 34235 Esenler/İstanbul",12.00-22.00,,
Esenler,Esenler Adem Baştürk Kültür Merkezi,2125694932,https://goo.gl/maps/5UrT5UbzsphaLxwx6,,,
Esenler,Barış Manço Kütüphanesi,2124303023,https://goo.gl/maps/SrZD15QMzwhRe5cb8,,,
Esenler,Evliya Çelebi Kütüphanesi,,https://goo.gl/maps/xwGghQPDzZKVnuin8,,,
Esenler,Esenler İSADEM,,https://goo.gl/maps/KZpg3eUtJDV7ttyK9,,,
Esenyurt,Gülten Akın Kütüphanesi,0212 249 95 65,https://goo.gl/maps/2uiaQeUVM47K6aY49,,,
Esenyurt,İsmail Hakkı Tonguç Kütüphanesi,(0232) 322 17 29,https://goo.gl/maps/zJsRWo666tWcnyob9,,,
Esenyurt,Esenyurt İSADEM,,,,,
Esenyurt,Esenyurt Sosyal Hizmet Merkezi,2124500637,https://goo.gl/maps/77p9H4bK74uoH7ge8,,,
Eyüp,Idari Bina,,https://goo.gl/maps/M9g4nBNVQaY1xFHx9,,,
Eyüp,Bilgi Üniversitesi,,,9 ŞUBAT SAAT 10.00 İTİBARİYLE YARDIM LAZIM,,
Eyüpsultan,Eyüpsultan Sosyal Hizmet Noktası,(0212) 627 50 83,https://goo.gl/maps/2DiLZDGBNAiTm1mN9,,,
Eyüpsultan,Mustafa Kemal Bulvari White Hill,,https://www.google.com/maps/pla,KOLİ VE PAKETLEME YARDIMI LAZIM,,
Eyüpsultan,Eyüpsultan Kütüphanesi,2124173396,https://goo.gl/maps/cEzsrjNXGynKxtKX7,,,
Eyüpsultan,Erdem Beyazıt Kütüphanesi,2126257319,https://goo.gl/maps/ExbT69d5wFVFobvE7,,,
Eyüpsultan,Eyüpsultan İSADEM,,https://goo.gl/maps/7SKQVxjiPpuUFJWc7,,,
Eyüpsultan,Eyüpsultan Sosyal Hizmet Noktası,2124401546,https://goo.gl/maps/rJepZpkbLxqgRW6P9,,,
